claim,count,anti_trump,sentiment,left_leaning,right_leaning
for Palestinian liberation,1541,False,left,True,False
against genocide in Gaza,655,False,left,True,False
for climate action,374,False,left,True,False
for LGBTQ+ rights,347,False,left,True,False
for immigrants' rights,344,False,left,True,False
for women's rights,343,False,left,True,False
for reproductive rights,324,False,left,True,False
against gun violence,303,False,left,True,False
for ceasefire in Gaza,301,False,left,True,False
for democracy,225,False,left,True,False
against police brutality,156,False,left,True,False
against ICE raids and immigrant deportations,135,False,left,True,False
for immigrant rights,82,False,left,True,False
for abolishing ICE,71,False,left,True,False
for permanent ceasefire in Gaza,70,False,left,True,False
for justice for jailed or imprisoned J6 participants,68,False,left,True,False
for environmental justice,64,False,left,True,False
for workers' rights,64,False,left,True,False
against immigrant deportations,52,False,left,True,False
against immigrant deportations and family separations,51,False,left,True,False
for immediate and permanent ceasefire in Gaza,45,False,left,True,False
for police accountability,45,False,left,True,False
against ICE raids,43,False,left,True,False
for humanitarian aid to Gaza,21,False,left,True,False
for ending Israel's occupation of Palestine,21,False,left,True,False
for lifting Israel's siege on Gaza,21,False,left,True,False
for racial justice,20,False,left,True,False
against genocide and occupation,20,False,left,True,False
in remembrance of Palestinians killed in Gaza,19,False,left,True,False
for environmental conservation,19,False,left,True,False
for climate justice,17,False,left,True,False
against ICE,16,False,left,True,False
against police violence,16,False,left,True,False
against Chevron's complicity in genocide in Gaza,16,False,left,True,False
for Indigenous peoples' rights,14,False,left,True,False
for accountability for war crimes in Gaza,14,False,left,True,False
against genocide and displacement in Gaza,14,False,left,True,False
for peace and justice,14,False,left,True,False
in solidarity with healthcare workers and hospitals in Gaza,13,False,left,True,False
against genocide,13,False,left,True,False
for trans rights,12,False,left,True,False
for gun control,12,False,left,True,False
Palestinian liberation,11,False,left,True,False
against Israel's attacks on hospitals and healthcare workers in Gaza,11,False,left,True,False
in remembrance of Palestinian children killed in Gaza,11,False,left,True,False
against L3Harris's complicity in genocide in Gaza,11,False,left,True,False
against President Trump's recent de-funding of several public service institutions,11,True,left,True,False
against inequality,11,False,left,True,False
for a ceasefire in Israel and Palestine,10,False,left,True,False
for a ceasefire in Gaza,10,False,left,True,False
for ceasefire in Israel/Palestine,10,False,left,True,False
against Israel's war on Gaza and Lebanon,10,False,left,True,False
for peace through justice in Hawai'i and around the world,10,False,left,True,False
in support of refugees,10,False,left,True,False
for humanitarian and medical aid to Gaza,10,False,left,True,False
for peace and justice in Gaza and everywhere,10,False,left,True,False
for justice for the Marlin dogs,10,False,left,True,False
for ending gun violence,10,False,left,True,False
for justice for Jimmy Lopez,10,False,left,True,False
for protecting the environment from unchecked climate change,10,False,left,True,False
for justice for Tyrone West and all victims of police brutality,10,False,left,True,False
for permanent ceasefire in Gaza and West Bank,10,False,left,True,False
in solidarity with the Black Lives Matter movement,10,False,left,True,False
against war and injustice,10,False,left,True,False
for gender justice,10,False,left,True,False
for peace and justice in a nuclear-free world,10,False,left,True,False
for bilateral ceasefire in Gaza,10,False,left,True,False
against Israel's destruction of the healthcare system in Gaza,10,False,left,True,False
against police violence and corruption,10,False,left,True,False
against the suffering of families and children in Gaza,10,False,left,True,False
for dropping charges against pro-Palestine student protesters arrested at Arizona State University,10,False,left,True,False
for abolishing police associations,10,False,left,True,False
against starvation in Gaza,10,False,left,True,False
for ceasefire in Ukraine,10,False,left,True,False
for immediate ceasefire in Gaza,10,False,left,True,False
against U.S. support for Israel's attack on Gaza,10,False,left,True,False
for peace in Gaza,10,False,left,True,False
for Indigenous peoples' solidarity,10,False,left,True,False
for ending Israel's siege on Gaza and settler violence in the West Bank,10,False,left,True,False
for freeing all Israeli and Palestinian prisoners and hostages,10,False,left,True,False
for equal justice for all,10,False,left,True,False
for justice and equality and freedom for Israelis and Palestinians,10,False,left,True,False
for freeing all abducted Palestinian healthcare workers,9,False,left,True,False
against immigrants' deportation and family separation,9,False,left,True,False
for transgender rights,9,False,left,True,False
for transgender peoples' rights,9,False,left,True,False
for humanitarian assistance to Palestinians,9,False,left,True,False
in celebration of ceasefire in Gaza,8,False,left,True,False
against deportations,7,False,left,True,False
against President Trump's immigration policies,7,True,left,True,False
against President Trump and Elon Musk's cooptation of U.S. Office of Personnel Management,6,True,left,True,False
for a fair contract for Costco workers,6,False,left,True,False
in support of federal workers,6,False,left,True,False
for permanent and unconditional ceasefire in Gaza,6,False,left,True,False
for justice for Robert Brooks,5,False,left,True,False
against immigrant deportation,5,False,left,True,False
for environmental protection,5,False,left,True,False
for LGBTQ rights,5,False,left,True,False
for abortion rights,5,False,left,True,False
against Donald Trump's immigration policies,5,True,left,True,False
against U.S. Secretary of State Anthony Blinken's complicity in genocide in Gaza,4,False,left,True,False
for immigration rights,4,False,left,True,False
against deaths in police custody,4,False,left,True,False
against pro-Palestine demonstration,4,False,left,True,False
in support of Donald Trump's immigration policies,4,False,left,True,False
"for social, economic, and environmental justice",4,False,left,True,False
against intimidation of migrant workers by Customs and Border Patrol,4,False,left,True,False
in remembrance of Hind Rajab and other Palestinian children killed in Gaza,4,False,left,True,False
against police abuse of power,4,False,left,True,False
for justice for Doug Harless,4,False,left,True,False
for immigration reform,4,False,left,True,False
against arrests and deportations of migrant workers,4,False,left,True,False
against ICE and mass deportations,4,False,left,True,False
for Indigenous sovereignty,3,False,left,True,False
against ICE deportations,3,False,left,True,False
against pro-immigrants demonstration,3,False,left,True,False
for justice for Hadi Abuatela,3,False,left,True,False
for wealth equality,3,False,left,True,False
against pro-Palestine rally,3,False,left,True,False
against immigrant deportations and family separation,3,False,left,True,False
for racial equality,3,False,left,True,False
for justice for Murod Kurdi,3,False,left,True,False
for justice,3,False,left,True,False
for accountability for Israel's war crimes in Gaza,3,False,left,True,False
against inhumane detention practices,3,False,left,True,False
in remembrance of victims of Sandy Hook Elementary School mass shooting and other instances of gun violence,3,False,left,True,False
in solidarity with Palestinian birdwatchers,3,False,left,True,False
for compassionate immigration reform,3,False,left,True,False
for justice and respect for immigrants,3,False,left,True,False
for higher pay for corrections officers,3,False,left,True,False
against immigrant deportations and ICE raids,3,False,left,True,False
for Palestinians' right of return,3,False,left,True,False
against construction of police training centers,3,False,left,True,False
against state legislation that would criminalize pro-Palestinian activism,3,False,left,True,False
for protection for immigrants,3,False,left,True,False
"against widespread federal employee terminations, against unexpected firings without justification, against layoffs affecting public service workers, against termination of experienced federal employees, against loss of consumer protection attorneys, against negative impact on local economies, for appealing illegal firings, for speaking to lawmakers for support, for rallying federal employees to fight job cuts, against va layoffs affecting veterans' care, for urging congress to intervene, for organizing future protests",2,False,left,True,False
against the Trump administration's immigration policies,2,False,left,True,False
