Claim,Claim Count,Issues
for Palestinian liberation,1040,Gaza
for climate action,348,Environment
for immigrants' rights,336,Immigration
for women's rights,329,Abortion
for LGBTQ+ rights,325,LGBTplus
against gun violence,300,Gun Control
for democracy,212,
against President Trump,147,Trump
against ICE raids and immigrant deportations,130,Immigration
against racism,126,Racial Justice
against Donald Trump's agenda,72,Trump
against Elon Musk,64,Musk/DOGE
against immigrant deportations and family separations,51,Immigration
against immigrant deportations,48,Immigration
in commemoration of Martin Luther King Jr. Day,20,
for racial justice,15,Racial Justice
for climate justice,11,Environment
against the Trump administration,10,Trump
for peace and justice,9,
for justice for Tyrone West and all victims of police brutality,7,Racial Justice
against President Trump's immigration policies,7,Immigration
in support of refugees,7,Immigration
for peace and justice in a nuclear-free world,6,
against the Trump adminstration's policies,6,Trump
against immigrant deportation,5,Immigration
"for social, economic, and environmental justice",4,Environment
for a fair contract for Costco workers,4,Workers
for transgender rights,4,LGBTplus
against federal cuts,3,Musk/DOGE
against immigrant deportations and ICE raids,3,Immigration
for LGBTQ rights,3,LGBTplus
against president Trump's policies,2,Trump
for reproductive freedom,2,
"for increasing starter teacher pay, for academic incentives for students, for affordable housing support for teachers in high-cost districts, for respecting public employees and funding public schools, against school voucher programs, against diverting public funds to private schools, for improving career earnings for veteran teachers, for supporting law enforcement and local government officials, against inadequate oversight in school choice programs, for ensuring teachers remain in montana with competitive wages",2,Workers
against the Democratic Party's failure to act to mitigate climate change,2,Environment
"against Donald TrumpÃÂ¢ÃÂÃÂs immigration policies targeting undocumented immigrants, for the right of students to protest in solidarity with their families, against deportations breaking up hardworking families, for keeping parents and children together regardless of immigration status, against policies that instill fear in Hispanic communities, for recognizing the contributions of immigrants to American society, against government actions that criminalize people seeking a better life, for students standing up for their uncles fathers and friends, against the pain of forced family separations, for young people using their voices to advocate for justice, against ICE orders that disproportionately affect Latino families",2,Immigration
"against TrumpÃÂ¢ÃÂÃÂs mass deportations, for students' right to protest policies that harm their families, against ICE raids disrupting communities, for keeping families together, against the fear instilled in undocumented families, for young people standing up for justice, against policies that criminalize immigrants seeking better lives, for student activism in defense of their friends and loved ones, against a system that dehumanizes migrants, for constructive dialogue about immigration policies, against the increased enforcement tearing apart communities",2,Immigration
for higher pay for union workers at University of California Los Angeles,2,Workers
