Claim,Claim Count,Issue
for ceasefire in Gaza; for ending all U.S. weapons sales and aid to Israel; for humanitarian and medical aid to Gaza; against genocide in Gaza; for Palestinian liberation; for divesting hospitals from weapons manufacturers,0,Gaza
against genocide and displacement in Gaza; for accountability for war crimes in Gaza; for Palestinian liberation,0,Gaza
in rememberence of Jamal Davis; against gun violence,0,Gun Control
for justice for Tyrone West and all victims of police brutality,7,Racial Justice
for peace; for Palestinian liberation,0,Gaza
for Palestinian liberation,1040,Gaza
against presence in Bloomington of businesses that profit from war; against genocide in Gaza; against the military-industrial complex; for Palestinian liberation,0,Gaza
against genocide in Gaza; for arms embargo on Israel; for Palestinian liberation,0,Gaza
against genocide in Gaza; for Palestinian liberation,0,Gaza
in celebration of ceasefire in Gaza; for Palestinian liberation,0,Gaza
for ceasefire in Gaza; against genocide in Gaza; for Palestinian liberation,0,Gaza
against all wars; for Palestinian liberation,0,Gaza
against Lockheed Martin's complicity in genocide in Gaza; for Palestinian liberation,0,Gaza
for abolishing police associations; against police violence and corruption; against racism,0,Racial Justice
against racism; against police brutality,0,Racial Justice
for ratification of the Equal Rights Amendment; for women's rights,0,Abortion
for ceasefire in Gaza; for Palestinian liberation,0,Gaza
for Palestinian liberation; for ceasefire in Gaza; for ending U.S. aid to Israel; against genocide in Gaza,0,Gaza
against the moving of Milwaukee U.S. Immigrations and Customs facility to a larger building; for protection for immigrants; against mass deportations,0,Immigration
against cuts to state healthcare budget; against closures of hospitals and healthcare clinics in Vermont,0,Healthcare
for a fair contract for Costco workers,4,Workers
against L3Harris's complicity in genocide in Gaza; against weapons manufacturing; for Palestinian liberation,0,Gaza
in celebration of ceasefire in Gaza; against genocide in Gaza; for Palestinian liberation,0,Gaza
for stricter gun control legislation; against gun violence,0,Gun Control
against potential deportations of immigrants in Saint Louis; for access to resources for immigrants,0,Immigration
for Palestinian liberation; against colonial violence,0,Gaza
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center; for freeing all detained migrants; for abolishing ICE,0,Immigration
against proposed repeal of city legislation establishing citizens police review board; for community oversight of police; against police brutality; for police accountability,0,Racial Justice
against Donald Trump's nomination of Liberty Energy oil executive Chris Wright for U.S. Secretary of Energy; for climate action,0,Environment
for a ceasefire in Israel and Palestine; for the release of all hostages and prisoners; for humanitarian aid to all who are suffering in the war-torn regions,0,Gaza
against suspensions and evictions of University of Chicago students who participated in Palestine solidarity protest; for divesting University of Chicago from Israel; for Palestinian liberation,0,Gaza
against genocide in Gaza; for ending U.S. aid to Israel; for Palestinian liberation,0,Gaza
against Birthright Israel event; against Zionism; against occupation and ethnic cleansing in Palestine; for Palestinian liberation,0,Gaza
in support of refugees,7,Immigration
for ceasefire in Gaza; against apartheid; against genocide; against occupation; for Palestinian liberation,0,Gaza
for urgent climate action; for holding fossil fuel companies accountable for climate change; for big oil companies to support wildfire relief; for big oil compaines to aid California's transition to clean energy,0,Environment
for urgent climate action; for holding fossil fuel companies accountable for climate change; for big oil companies to support wildfire relief; for big oil compaines to aid California's transition to clean energy,0,LGBTplus
against Citibank's continuing funding for fossil fuel projects; for climate action,0,Environment
against Chase Bank's continuing funding for fossil fuel projects; for climate action,0,Environment
for action by Mayor Eric Adams and the New York City Council to protect immigrant New Yorkers from Donald Trump's planned mass deportations and family separations,1,Immigration
against U.S. Representative Jake Auchincloss's support for Israel; for arms embargo on Israel; for Palestinian liberation,0,Gaza
in solidarity with Gaza; for Palestinians' right of return; for reparations to Palestinians; for Palestinian liberation,0,Gaza
against U.S. Senator Mark Kelly's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against genocide and displacement in Gaza; for accountability for war crimes in Gaza; against Zionism; for Palestinian liberation,0,Gaza
against U.S. and Israeli imperialism in the Middle East; for Palestinian liberation,0,Gaza
against Donald Trump; for Palestinian liberation; for immigrant rights; for women's rights; for LGBTQ rights,0,LGBTplus
against Donald Trump; for Palestinian liberation; for immigrant rights; for women's rights; for LGBTQ rights,0,Gaza
against Donald Trump; for Palestinian liberation; for immigrant rights; for women's rights; for LGBTQ rights,0,Abortion
against Donald Trump; for Palestinian liberation; for immigrant rights; for women's rights; for LGBTQ rights,0,Immigration
for arms embargo on Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
"against the United States sending weapons to Israel, for Palestinian liberation",1,Gaza
against President Biden's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for freedom,0,Abortion
for climate action; against U.S. militarism,0,Environment
against Israel's attacks on hospitals and healthcare workers in Gaza; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Israel's attacks on hospitals and healthcare workers in Gaza; against genocide in Gaza; for Palestinian liberation,0,Workers
against Israel's attacks on hospitals and healthcare workers in Gaza; against genocide in Gaza; for Palestinian liberation,0,Healthcare
for ceasefire in Gaza; for humanitarian assistance to Palestinians; for Palestinian liberation,0,Gaza
for compassionate immigration reform,2,Immigration
against Mayor John Whitmire's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
in celebration of ceasefire in Gaza; for Palestinian liberation; against imperialism and Zionism,0,Gaza
against police violence; for police accountability; for radical change; against racism,0,Racial Justice
for Palestinian liberation; for peace,0,Gaza
against Israel's war on Gaza and Lebanon; against U.S. aid to Israel; for Palestinian liberation,0,Gaza
for ceasefire in Israel/Palestine; for peace,0,Gaza
against U.S. Representative Dan Goldman's support for Israel; for ending U.S. aid to Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
for permanent ceasefire in Gaza; against genocide and occupation; for arms embargo on Israel; for Palestinian liberation,0,Gaza
for a ceasefire in Gaza; for arms embargo on Israel; for Palestinian liberation; for peace and justice,0,Gaza
for peace; against war; for banning nuclear weapons; for ending gun violence; for racial justice; for gender justice; for protecting the environment from unchecked climate change,0,Gun Control
for peace; against war; for banning nuclear weapons; for ending gun violence; for racial justice; for gender justice; for protecting the environment from unchecked climate change,0,Environment
for peace; against war; for banning nuclear weapons; for ending gun violence; for racial justice; for gender justice; for protecting the environment from unchecked climate change,0,Racial Justice
for climate action,348,Environment
for immediate and permanent ceasefire in Gaza; for peace; for Palestinian liberation,0,Gaza
for peace; for police accountability; for climate justice,0,Environment
against racism; against police brutality; for Indigenous peoples' rights; for Palestinian liberation,0,Gaza
against racism; against police brutality; for Indigenous peoples' rights; for Palestinian liberation,0,Racial Justice
against genocide in Gaza; for accountability for Israel's war crimes; for Palestinian liberation,0,Gaza
in remembrance of Palestinians killed by Israel; against false promises of prolonged ceasefire; for Palestinian liberation,0,Gaza
for immediate and permanent ceasefire in Gaza; for Palestinian liberation,0,Gaza
for ending use of fossil fuels; for climate action,0,Environment
for ending Israel's occupation of Palestine; for Palestinian liberation,0,Gaza
against the Anti-Defamation League; against Zionism; for anti-Zionist Judaism; for Palestinian liberation,0,Gaza
against Archivist of the United States Coleen Shogan's refusal to publish the Equal Rights Amendment; for women's rights; Coleen Shogan what do you say! publish ERA today!; ERA now,0,Abortion
against racism; in solidarity with the Black Lives Matter movement,0,Racial Justice
for ceasefire in Gaza; for peace; for Palestinian liberation,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom,0,Abortion
